,VOO,006208,00687B,00919,BTC,WBETH,BNB,BCH
2025-03-07,186424,175645,130002,23262,102179,27805,62567,57489
2025-03-08,186424,175645,130002,23262,101486,28618,62474,57018
2025-03-09,186424,175645,130002,23262,94944,26191,58419,52850
2025-03-10,181325,174761,129498,23243,92420,24250,56000,49019
2025-03-11,180054,171306,131094,23030,97634,24960,58107,50239
2025-03-12,180939,172029,129624,23107,98654,24830,60052,52383
2025-03-13,178780,170904,129203,22991,95634,24261,61104,48320
2025-03-14,182795,170181,129582,22894,99245,24921,62056,49039
2025-03-15,182795,170181,129582,22894,99687,25288,65475,50889
2025-03-16,182795,170181,129582,22894,97602,24642,63650,49424
2025-03-17,183953,171869,129498,23020,99243,25140,66645,50074
2025-03-18,182181,172511,130262,23090,97731,25227,66365,49732
2025-03-19,184222,170422,129922,23040,102688,26900,65472,51322
2025-03-20,183932,174038,131027,23210,99584,25928,66651,49571
2025-03-21,183889,172833,130773,23130,99389,25687,67112,47918
2025-03-22,183889,172833,130773,23130,99140,25889,66262,47834
2025-03-23,183889,172833,130773,23130,101767,26234,65921,48312
2025-03-24,187046,172190,129880,23130,103437,27143,67302,49321
2025-03-25,187698,174601,129073,23150,103519,27052,66667,49891
2025-03-26,185699,174199,128775,23150,102949,26328,65451,49780
2025-03-27,185431,170744,128350,23000,103411,26264,67593,48375
2025-03-28,181853,168976,128648,22820,100131,24853,65758,45838
2025-03-29,181853,168976,128648,22820,98047,24001,64034,45189
2025-03-30,181853,168976,128648,22820,97735,23721,63885,44554
2025-03-31,183371,163110,131027,22250,98209,23988,64374,45321
2025-04-01,184341,166726,131835,22640,101489,25105,65140,46167
2025-04-02,185254,166646,131878,22590,98186,23649,62871,43937
2025-04-03,176732,166646,131878,22590,99097,23940,63142,45003
2025-04-04,165331,166646,131878,22590,99285,23775,63280,44804
2025-04-05,165331,166646,131878,22590,98883,23662,62807,45187
2025-04-06,165331,166646,131878,22590,92619,20667,58728,40439
2025-04-07,165289,150013,134087,20340,94201,20448,58950,41129
2025-04-08,161962,148964,129497,19670,90179,19270,58518,39940
2025-04-09,177523,142336,126598,18440,97928,21882,61762,44861
2025-04-10,168909,156504,130287,20280,93026,19692,60324,42590
2025-04-11,172929,160398,128249,20930,98033,20386,61603,46181
2025-04-12,172929,160398,128249,20930,100246,21374,62763,50918
2025-04-13,172929,160398,128249,20930,98362,20764,61388,50541
2025-04-14,172406,158989,128116,21060,98084,20842,60624,47142
2025-04-15,171895,160729,129755,21310,97055,20415,60132,46495
2025-04-16,168882,157581,129489,21080,97922,20370,60731,47109
2025-04-17,168464,156504,130375,20830,98545,20347,61260,48580
2025-04-18,168464,156669,129489,20850,98029,20421,61427,48889
2025-04-19,168464,156669,129489,20850,98740,20723,61428,48887
2025-04-20,168464,156669,129489,20850,98869,20392,61552,48975
2025-04-21,164450,154432,127761,20530,101590,20312,62013,50268
2025-04-22,168922,151864,126742,20290,108673,22651,64358,52990
2025-04-23,172339,158492,129533,20850,109418,23240,63263,52537
2025-04-24,175740,157581,129666,20680,109567,22862,62757,52215
2025-04-25,176506,161558,130419,20940,110143,23007,62410,54522
2025-04-26,176506,161558,130419,20940,110057,23458,63192,51985
2025-04-27,176506,161558,130419,20940,109020,23092,62767,50528
2025-04-28,177068,162552,131438,21010,110727,23259,63215,53328
2025-04-29,177631,163546,131172,21130,109603,23186,62479,53090
2025-04-30,177147,163877,130995,21060,109161,23042,62139,53297
2025-05-01,176803,163877,130995,21060,110807,23405,61606,52083
2025-05-02,179783,172074,126609,21330,111563,23516,61887,55357
2025-05-03,179783,172074,126609,21330,111563,23516,61887,55357
